Case,Date,State,County,Case Count
NO.26312,2020-03-21,FL,Unassigned,1
NO.26311,2020-03-21,FL,Walton,1
NO.26309-26310,2020-03-21,VA,Lee,1
NO.26308,2020-03-21,TX,Lubbock,1
NO.26307,2020-03-21,FL,Volusia,1
NO.26306,2020-03-21,TX,Lubbock,1
NO.26305,2020-03-21,TX,Lubbock,1
NO.26303-26304,2020-03-21,MO,St. Louis City,1
NO.26301-26302,2020-03-21,FL,Sumter,1
NO.26300,2020-03-21,FL,St. Johns,1
NO.26299,2020-03-21,MO,Cole,1
NO.26298,2020-03-21,FL,Seminole,1
NO.26294-26297,2020-03-21,FL,Sarasota,3
NO.26293,2020-03-21,MO,Adair,1
NO.26291-26292,2020-03-21,MO,Boone,1
NO.26289-26290,2020-03-21,FL,Pinellas,1
Death,2020-03-21,MI,Oakland,1
NO.26288,2020-03-21,MI,Allegan,1
NO.26277-26287,2020-03-21,FL,Palm Beach,10
NO.26270-26276,2020-03-21,FL,Osceola,6
NO.26264-26269,2020-03-21,FL,Orange,5
NO.26261-26263,2020-03-21,FL,Okaloosa,2
NO.26254-26260,2020-03-21,MO,St. Louis,6
NO.26227-26253,2020-03-21,FL,Miami-Dade,26
NO.26226,2020-03-21,NC,Durham,1
NO.26223-26225,2020-03-21,VT,Windham,2
NO.26222,2020-03-21,NC,Carteret,1
NO.26221,2020-03-21,VT,Bennington,1
NO.26216-26220,2020-03-21,VT,Windsor,4
NO.26214-26215,2020-03-21,VT,Rutland,1
NO.26212-26213,2020-03-21,VT,Orange,1
NO.26210-26211,2020-03-21,VT,Addison,1
NO.26197-26209,2020-03-21,VT,Chittenden,12
NO.26195-26196,2020-03-21,VT,Franklin,1
NO.26194,2020-03-21,NH,Strafford,1
NO.26193,2020-03-21,NH,Hillsborough,1
NO.26187-26192,2020-03-21,NH,Rockingham,5
Death,2020-03-21,VA,Fairfax,1
NO.26185-26186,2020-03-21,NH,Merrimack,1
NO.26182-26184,2020-03-21,NH,Grafton,2
NO.26181,2020-03-21,MT,Silver Bow,1
NO.26180,2020-03-21,NH,Berknap,1
NO.26178-26179,2020-03-21,MT,Gallatin,1
NO.26177,2020-03-21,MT,Gallatin,1
NO.26176,2020-03-21,FL,Marion,1
NO.26171-26175,2020-03-21,CA,San Luis Obispo,4
NO.26170,2020-03-21,OR,Josephine,1
NO.26168-26169,2020-03-21,FL,Manatee,1
NO.26165-26167,2020-03-21,FL,Lee,2
NO.26154-26164,2020-03-21,OR,Washington,10
NO.26153,2020-03-21,FL,Indian River,1
NO.26147-26152,2020-03-21,OR,Multnomah,5
Death,2020-03-21,CO,El Paso,1
NO.26146,2020-03-21,TX,Brazoria,1
NO.26145,2020-03-21,TX,Brazoria,1
NO.26143-26144,2020-03-21,OR,Marion,1
NO.26142,2020-03-21,TX,Cameron,1
NO.26141,2020-03-21,OR,Linn,1
NO.26136-26140,2020-03-21,FL,Hillsborough,4
NO.26135,2020-03-21,TX,Brazoria,1
NO.26134,2020-03-21,OR,Lane,1
NO.26133,2020-03-21,FL,Highlands,1
Death,2020-03-21,CO,Eagle,1
NO.26132,2020-03-21,WA,Clallam,1
NO.26127-26131,2020-03-21,FL,Duval,4
NO.26126,2020-03-21,WA,Cowlitz,1
NO.26125,2020-03-21,OR,Deschutes,1
NO.26124,2020-03-21,FL,Collier,1
NO.26123,2020-03-21,OR,Clackamas,1
NO.26120-26122,2020-03-21,WA,Kitsap,2
NO.26119,2020-03-21,FL,Clay,1
NO.26113-26118,2020-03-21,CO,Weld,5
NO.26112,2020-03-21,FL,Citrus,1
NO.26110-26111,2020-03-21,WA,Klickitat,1
NO.26109,2020-03-21,CO,San Miguel,1
NO.26108,2020-03-21,CO,Pueblo,1
NO.26095-26107,2020-03-21,FL,Broward,12
NO.26094,2020-03-21,CO,Pitkin,1
NO.26093,2020-03-21,FL,Brevard,1
NO.26092,2020-03-21,CO,Montrose,1
NO.26091,2020-03-21,WA,Lewis,1
NO.26079-26090,2020-03-21,CO,Larimer,11
NO.26075-26078,2020-03-21,FL,Alachua,3
NO.26072-26074,2020-03-21,WA,Skagit,2
NO.26066-26071,2020-03-21,CO,Jefferson,5
NO.26065,2020-03-21,MT,Ravalli,1
NO.26064,2020-03-21,CO,Hinsdale,1
NO.26063,2020-03-21,WA,San Juan,1
NO.26058-26062,2020-03-21,CO,Gunnison,4
NO.26057,2020-03-21,WA,Stevens,1
NO.26054-26056,2020-03-21,CO,Garfield,2
NO.26053,2020-03-21,CA,San Bernardino,1
NO.26052,2020-03-21,WA,Thurston,1
NO.26049-26051,2020-03-21,CO,Elbert,2
NO.26048,2020-03-21,NC,Cumberland,1
NO.26038-26047,2020-03-21,CO,El Paso,9
NO.26025-26037,2020-03-21,CO,Eagle,12
NO.26024,2020-03-21,NC,Onslow,1
NO.26022-26023,2020-03-21,PA,Luzerne,1
NO.26012-26021,2020-03-21,CO,Douglas,9
NO.26008-26011,2020-03-21,WA,Whatcom,3
NO.26005-26007,2020-03-21,WA,Yakima,2
NO.25975-26004,2020-03-21,CO,Denver,29
NO.25958-25974,2020-03-21,NY,Onondaga,16
NO.25957,2020-03-21,WA,Chelan,1
NO.25956,2020-03-21,CO,Clear Creek,1
NO.25954-25955,2020-03-21,CO,Chaffee,1
NO.25953,2020-03-21,PA,Montour,1
NO.25952,2020-03-21,TX,Fort Bend,1
NO.25951,2020-03-21,TX,Fort Bend,1
NO.25937-25950,2020-03-21,CO,Boulder,13
NO.25936,2020-03-21,TX,Fort Bend,1
NO.25935,2020-03-21,SC,Newberry,1
Death,2020-03-21,WA,Whatcom,1
NO.25924-25934,2020-03-21,CO,Arapahoe,10
NO.25923,2020-03-21,TX,Fort Bend,1
NO.25922,2020-03-21,SC,Marlboro,1
NO.25921,2020-03-21,TX,Fort Bend,1
NO.25919-25920,2020-03-21,CO,Adams,1
NO.25918,2020-03-21,TX,Nueces,1
NO.25917,2020-03-21,SC,Edgefield,1
NO.25916,2020-03-21,NC,Onslow,1
NO.25915,2020-03-21,SC,Dillon,1
NO.25910-25914,2020-03-21,NY,Niagara,4
NO.25909,2020-03-21,SC,Colleton,1
NO.25797-25908,2020-03-21,WA,Unassigned,111
NO.25796,2020-03-21,SC,York,1
NO.25795,2020-03-21,SC,Spartanburg,1
NO.25783-25794,2020-03-21,WA,Pierce,11
NO.25782,2020-03-21,SC,Darlington,1
NO.25780-25781,2020-03-21,SC,Sumter,1
Death,2020-03-21,WA,Snohomish,1
NO.25718-25779,2020-03-21,WA,Snohomish,61
NO.25716-25717,2020-03-21,AL,Tuscaloosa,1
NO.25713-25715,2020-03-21,AL,Madison,2
NO.25712,2020-03-21,AL,Lauderdale,1
NO.25711,2020-03-21,AL,Jefferson,1
NO.25710,2020-03-21,SC,Orangeburg,1
NO.25707-25709,2020-03-21,SC,Greenwood,2
Death,2020-03-21,WA,King,1
NO.25706,2020-03-21,NC,Montgomery,1
NO.25565-25705,2020-03-21,WA,King,140
NO.25564,2020-03-21,SC,Horry,1
NO.25561-25563,2020-03-21,SC,Charleston,2
NO.25557-25560,2020-03-21,SC,Anderson,3
NO.25554-25556,2020-03-21,TX,McLennan,2
NO.25553,2020-03-21,WV,Mercer,1
NO.25544-25552,2020-03-21,NY,Putnam,8
NO.25542-25543,2020-03-21,WV,Marshall,1
NO.25538-25541,2020-03-21,SC,Lexington,3
Death,2020-03-21,KY,Anderson,1
NO.25519-25537,2020-03-21,KY,Unassigned,18
NO.25514-25518,2020-03-21,SC,Richland,4
NO.25447-25513,2020-03-21,CA,Santa Clara,66
NO.25446,2020-03-21,NC,Buncombe,1
NO.25441-25445,2020-03-21,SC,Beaufort,4
NO.25439-25440,2020-03-21,TX,Ellis,1
NO.25438,2020-03-21,PA,Dauphin,1
NO.25433-25437,2020-03-21,SC,Greenville,4
NO.25429-25432,2020-03-21,WA,Benton,3
Death,2020-03-21,WA,Benton,1
NO.25422-25428,2020-03-21,SC,Kershaw,6
NO.25421,2020-03-21,NC,Davie,1
NO.25419-25420,2020-03-21,TX,Hockley,1
NO.25414-25418,2020-03-21,MA,Franklin,4
NO.25395-25413,2020-03-21,TN,Out-of-state,18
NO.25394,2020-03-21,TX,Lubbock,1
NO.25382-25393,2020-03-21,TN,Williamson,11
NO.25376-25381,2020-03-21,TX,Denton,5
NO.25375,2020-03-21,TN,Tipton,1
NO.25371-25374,2020-03-21,TN,Rutherford,3
NO.25366-25370,2020-03-21,MA,Worcester,4
NO.25365,2020-03-21,TN,Scott,1
NO.25356-25364,2020-03-21,MA,Plymouth,8
NO.25355,2020-03-21,TN,Roane,1
NO.25350-25354,2020-03-21,TN,Putnam,4
Death,2020-03-21,NY,Suffolk,1
NO.25343-25349,2020-03-21,MA,Unassigned,6
NO.25340-25342,2020-03-21,NC,New Hanover,2
NO.25334-25339,2020-03-21,MA,Hampden,5
NO.25333,2020-03-21,MI,Saginaw,1
Death,2020-03-21,NY,Suffolk,1
NO.25331-25332,2020-03-21,TN,Monroe,1
NO.25330,2020-03-21,MA,Dukes and Nantucket,1
NO.25322-25329,2020-03-21,MA,Bristol,7
NO.25321,2020-03-21,TN,Knox,1
NO.25309-25320,2020-03-21,CA,Orange,11
NO.25307-25308,2020-03-21,TN,Hamilton,1
NO.25306,2020-03-21,MA,Berkshire,1
NO.25302-25305,2020-03-21,KY,Unassigned,3
NO.25301,2020-03-21,TN,Hamblen,1
NO.25299-25300,2020-03-21,MA,Barnstable,1
NO.25298,2020-03-21,TN,Dyer,1
NO.25297,2020-03-21,TN,Dickson,1
NO.25290-25296,2020-03-21,TN,Davidson,6
NO.25289,2020-03-21,NC,Alamance,1
NO.25288,2020-03-21,TX,Harris,1
NO.25287,2020-03-21,TX,Harris,1
NO.25286,2020-03-21,TX,Harris,1
NO.25285,2020-03-21,TX,Harris,1
NO.25284,2020-03-21,TN,Cocke,1
NO.25283,2020-03-21,TX,Harris,1
NO.25282,2020-03-21,TX,Harris,1
NO.25281,2020-03-21,TX,Harris,1
NO.25280,2020-03-21,TX,Harris,1
NO.25279,2020-03-21,KS,Mitchell,1
NO.25278,2020-03-21,TX,Harris,1
NO.25277,2020-03-21,TN,Campbell,1
NO.25276,2020-03-21,TX,Harris,1
NO.25274-25275,2020-03-21,KS,Johnson,1
NO.25262-25273,2020-03-21,MA,Essex,11
NO.25258-25261,2020-03-21,KS,Wyandotte,3
NO.25253-25257,2020-03-21,MA,Norfolk,4
NO.25251-25252,2020-03-21,NY,Wayne,1
NO.25229-25250,2020-03-21,MA,Suffolk,21
NO.25223-25228,2020-03-21,NY,Ulster,5
NO.25212-25222,2020-03-21,NY,Schenectady,10
NO.25179-25211,2020-03-21,MA,Middlesex,32
NO.25168-25178,2020-03-21,NY,Saratoga,10
NO.25163-25167,2020-03-21,NY,Rensselaer,4
NO.25153-25162,2020-03-21,NY,Putnam,9
NO.25151-25152,2020-03-21,NC,Carteret,1
NO.25072-25150,2020-03-21,NY,Orange,78
NO.25071,2020-03-21,NY,Ontario,1
NO.25067-25070,2020-03-21,NY,Onondaga,3
NO.25066,2020-03-21,MD,Somerset,1
NO.25065,2020-03-21,TX,Wharton,1
NO.25057-25064,2020-03-21,TN,Unknown,7
Death,2020-03-21,NJ,Bergen,1
NO.25056,2020-03-21,TX,Montgomery,1
NO.25055,2020-03-21,NY,Montgomery,1
Death,2020-03-21,NJ,Morris,1
NO.25054,2020-03-21,TX,Galveston,1
Death,2020-03-21,NJ,Essex,1
NO.25053,2020-03-21,TX,Galveston,1
NO.25052,2020-03-21,NY,Livingston,1
NO.25051,2020-03-21,NY,Herkimer,1
NO.25049-25050,2020-03-21,TX,Montgomery,1
NO.25048,2020-03-21,WA,Walla Walla County,1
NO.25047,2020-03-21,NY,Essex,1
NO.25045-25046,2020-03-21,IL,Champaign,1
NO.25044,2020-03-21,MD,Queen Anne's,1
NO.25039-25043,2020-03-21,WA,Spokane,4
NO.25026-25038,2020-03-21,NY,Dutchess,12
NO.25025,2020-03-21,MD,Caroline,1
NO.25024,2020-03-21,NY,Clinton,1
NO.25006-25023,2020-03-21,NY,Albany,17
NO.25005,2020-03-21,TX,Medina,1
NO.25004,2020-03-21,TX,Williamson,1
NO.25003,2020-03-21,NM,Lea,1
Death,2020-03-21,IL,Cook,1
NO.25002,2020-03-21,NM,Taos,1
NO.25001,2020-03-21,IL,Madison,1
NO.25000,2020-03-21,NM,Santa Fe,1
NO.24999,2020-03-21,NM,Sandoval,1
NO.24998,2020-03-21,NM,Dona Ana,1
NO.24996-24997,2020-03-21,IL,McLean,1
NO.24987-24995,2020-03-21,NM,Bernalillo,8
NO.24986,2020-03-21,IL,DeKalb,1
NO.24984-24985,2020-03-21,ND,Burleigh,1
NO.24983,2020-03-21,IL,Kankakee,1
NO.24982,2020-03-21,WA,Clark,1
NO.24980-24981,2020-03-21,IL,Winnebago,1
NO.24979,2020-03-21,WA,Clark,1
NO.24976-24978,2020-03-21,IL,McHenry,2
NO.24975,2020-03-21,DE,Sussex,1
NO.24971-24974,2020-03-21,DE,New Castle,3
NO.24970,2020-03-21,WA,Clark,1
NO.24968-24969,2020-03-21,IL,Will,1
NO.24958-24967,2020-03-21,IL,Lake,9
NO.24950-24957,2020-03-21,IL,DuPage,7
NO.24946-24949,2020-03-21,NY,Columbia,3
NO.24809-24945,2020-03-21,IL,Cook,136
NO.24775-24808,2020-03-21,MI,Wayne,33
Death,2020-03-21,NJ,Monmouth,1
NO.24774,2020-03-21,WI,Rock,1
NO.24773,2020-03-21,MI,Ottawa,1
NO.24728-24772,2020-03-21,MI,Oakland,44
NO.24727,2020-03-21,WI,Racine,1
NO.24692-24726,2020-03-21,MI,Macomb,34
NO.24687-24691,2020-03-21,WI,Waukesha,4
NO.24684-24686,2020-03-21,MI,Livingston,2
NO.24683,2020-03-21,NJ,Cape May,1
NO.24679-24682,2020-03-21,WI,Ozaukee,3
NO.24677-24678,2020-03-21,NJ,Warren,1
NO.24646-24676,2020-03-21,WI,Milwaukee,30
NO.24643-24645,2020-03-21,NJ,Sussex,2
NO.24634-24642,2020-03-21,MI,Kent,8
NO.24633,2020-03-21,NJ,Gloucester,1
NO.24629-24632,2020-03-21,MI,Ingham,3
NO.24628,2020-03-21,NJ,Atlantic,1
NO.24625-24627,2020-03-21,MI,Genesee,2
NO.24622-24624,2020-03-21,NJ,Hunterdon,2
NO.24621,2020-03-21,WI,Kenosha,1
NO.24620,2020-03-21,WI,Fond du Lac,1
Death,2020-03-21,MI,Wayne,1
NO.24521-24619,2020-03-21,MI,Wayne,98
NO.24517-24520,2020-03-21,NJ,Camden,3
NO.24516,2020-03-21,MI,Clinton,1
NO.24512-24515,2020-03-21,NJ,Burlington,3
NO.24511,2020-03-21,MI,Calhoun,1
NO.24503-24510,2020-03-21,NJ,Mercer,7
NO.24497-24502,2020-03-21,NJ,Somerset,5
NO.24496,2020-03-21,UT,Non-Utah resident,1
NO.24467-24495,2020-03-21,NJ,Morris,28
NO.24450-24466,2020-03-21,WI,Dane,16
NO.24412-24449,2020-03-21,NJ,Union,37
NO.24410-24411,2020-03-21,MI,Berrien,1
NO.24392-24409,2020-03-21,NJ,Passaic,17
NO.24379-24391,2020-03-21,NJ,Ocean,12
NO.24340-24378,2020-03-21,NJ,Monmouth,38
NO.24309-24339,2020-03-21,NJ,Hudson,30
NO.24308,2020-03-21,WI,Brown,1
NO.24274-24307,2020-03-21,NJ,Essex,33
NO.24271-24273,2020-03-21,UT,Wasatch,2
NO.24264-24270,2020-03-21,AZ,Navajo,6
NO.24224-24263,2020-03-21,NJ,Middlesex,39
NO.24110-24223,2020-03-21,NJ,Bergen,113
NO.24109,2020-03-21,UT,Utah,1
NO.24105-24108,2020-03-21,UT,Summit,3
NO.24092-24104,2020-03-21,UT,Salt Lake,12
Death,2020-03-21,KS,Johnson,1
NO.24086-24091,2020-03-21,PA,Montgomery,5
NO.24084-24085,2020-03-21,UT,Davis,1
NO.24071-24083,2020-03-21,MI,Washtenaw,12
NO.24070,2020-03-21,NC,Carteret,1
NO.24069,2020-03-21,CA,Orange,1
NO.24068,2020-03-21,PA,Butler,1
NO.24066-24067,2020-03-21,TX,Tarrant,1
NO.24065,2020-03-21,TX,Tarrant,1
NO.24063-24064,2020-03-21,TX,Tarrant,1
NO.24062,2020-03-21,TX,Tarrant,1
NO.24061,2020-03-21,TX,Tarrant,1
NO.24060,2020-03-21,VA,Richmond City,1
NO.24059,2020-03-21,VA,Gloucester,1
NO.24056-24058,2020-03-21,ME,York,2
NO.24055,2020-03-21,ME,Sagadahoc,1
NO.24052-24054,2020-03-21,ME,Oxford,2
NO.24042-24051,2020-03-21,TX,Bexar,9
NO.24036-24041,2020-03-21,ME,Cumberland,5
NO.24034-24035,2020-03-21,VA,Prince William,1
NO.24032-24033,2020-03-21,VA,Norfolk,1
NO.24031,2020-03-21,VA,Newport News,1
NO.24026-24030,2020-03-21,VA,Loudoun,4
NO.24025,2020-03-21,ME,Unassigned,1
NO.24024,2020-03-21,VA,James City,1
NO.24020-24023,2020-03-21,VA,Henrico,3
NO.24019,2020-03-21,WY,Carbon,1
NO.24017-24018,2020-03-21,CA,Sonoma,1
NO.24016,2020-03-21,TX,Brazoria,1
NO.24010-24015,2020-03-21,VA,Fairfax,5
NO.24009,2020-03-21,CA,Kern,1
NO.24008,2020-03-21,VA,Chesterfield,1
NO.24007,2020-03-21,DE,New Castle,1
NO.24002-24006,2020-03-21,VA,Arlington,4
NO.23997-24001,2020-03-21,OH,Summit,4
NO.23995-23996,2020-03-21,OH,Stark,1
NO.23993-23994,2020-03-21,VA,Alexandria,1
NO.23983-23992,2020-03-21,OH,Miami,9
NO.23980-23982,2020-03-21,OH,Medina,2
NO.23973-23979,2020-03-21,OH,Mahoning,6
NO.23971-23972,2020-03-21,OH,Lucas,1
NO.23970,2020-03-21,NC,Granville,1
NO.23966-23969,2020-03-21,OH,Lorain,3
NO.23965,2020-03-21,OH,Lake,1
NO.23964,2020-03-21,OH,Hamilton,1
NO.23963,2020-03-21,OH,Gallia,1
NO.23956-23962,2020-03-21,OH,Franklin,6
NO.23954-23955,2020-03-21,OH,Delaware,1
NO.23953,2020-03-21,OH,Defiance,1
NO.23952,2020-03-21,MI,Clare,1
NO.23929-23951,2020-03-21,OH,Cuyahoga,22
NO.23927-23928,2020-03-21,OH,Clermont,1
NO.23926,2020-03-21,IN,Monroe,1
NO.23922-23925,2020-03-21,OH,Butler,3
NO.23914-23921,2020-03-21,RI,Providence,7
NO.23913,2020-03-21,IA,Washington,1
NO.23912,2020-03-21,IA,Story,1
NO.23911,2020-03-21,IA,Pottawattamie,1
NO.23907-23910,2020-03-21,IA,Polk,3
NO.23906,2020-03-21,IA,Muscatine,1
NO.23900-23905,2020-03-21,TX,Tarrant,5
NO.23898-23899,2020-03-21,IA,Linn,1
NO.23893-23897,2020-03-21,IA,Johnson,4
NO.23892,2020-03-21,IA,Henry,1
NO.23891,2020-03-21,IA,Fayette,1
NO.23890,2020-03-21,IA,Dubuque,1
NO.23888-23889,2020-03-21,IA,Black Hawk,1
NO.23886-23887,2020-03-21,IA,Allamakee,1
NO.23879-23885,2020-03-21,LA,St. Bernard,6
NO.23878,2020-03-21,LA,Evangeline,1
NO.23877,2020-03-21,LA,Calcasieu,1
NO.23874-23876,2020-03-21,LA,St. John the Baptist,2
NO.23853-23873,2020-03-21,TX,Dallas,20
NO.23849-23852,2020-03-21,LA,Terrebonne,3
NO.23801-23848,2020-03-21,NJ,Unassigned,47
NO.23797-23800,2020-03-21,LA,Unassigned,3
NO.23786-23796,2020-03-21,LA,East Baton Rouge,10
NO.23783-23785,2020-03-21,LA,Caddo,2
NO.23773-23782,2020-03-21,LA,St. Tammany,9
NO.23711-23772,2020-03-21,LA,Jefferson,61
NO.23708-23710,2020-03-21,PA,York,2
NO.23706-23707,2020-03-21,PA,Washington,1
NO.23688-23705,2020-03-21,PA,Philadelphia,17
NO.23685-23687,2020-03-21,PA,Montgomery,2
NO.23678-23684,2020-03-21,PA,Northampton,6
NO.23672-23677,2020-03-21,PA,Monroe,5
NO.23670-23671,2020-03-21,PA,Luzerne,1
NO.23659-23669,2020-03-21,PA,Lehigh,10
NO.23658,2020-03-21,PA,Lebanon,1
NO.23656-23657,2020-03-21,PA,Lancaster,1
NO.23655,2020-03-21,PA,Lackawanna,1
NO.23645-23654,2020-03-21,PA,Delaware,9
NO.23644,2020-03-21,OK,Oklahoma,1
NO.23642-23643,2020-03-21,PA,Chester,1
NO.23641,2020-03-21,MN,Cass,1
Death,2020-03-21,PR,Puerto Rico,1
NO.23637-23640,2020-03-21,PA,Bucks,3
NO.23633-23636,2020-03-21,PR,Puerto Rico,3
NO.23632,2020-03-21,CA,Mono,1
NO.23631,2020-03-21,OK,Pawnee,1
NO.23630,2020-03-21,OK,Garvin,1
NO.23629,2020-03-21,OK,Cleveland,1
NO.23627-23628,2020-03-21,PA,Berks,1
NO.23626,2020-03-21,GA,Lincoln,1
NO.23625,2020-03-21,GA,Peach,1
NO.23623-23624,2020-03-21,GA,Baldwin,1
NO.23622,2020-03-21,GA,Troup,1
NO.23621,2020-03-21,GA,Floyd,1
NO.23619-23620,2020-03-21,GA,Richmond,1
NO.23616-23618,2020-03-21,GA,Clayton,2
NO.23615,2020-03-21,GA,Lee,1
NO.23613-23614,2020-03-21,MN,Steele,1
NO.23612,2020-03-21,GA,Cherokee,1
NO.23611,2020-03-21,IA,Linn,1
NO.23610,2020-03-21,MN,St. Louis,1
NO.23609,2020-03-21,MN,Wright,1
NO.23604-23608,2020-03-21,GA,DeKalb,4
NO.23601-23603,2020-03-21,GA,Dougherty,2
NO.23598-23600,2020-03-21,GA,Cobb,2
NO.23596-23597,2020-03-21,GA,Bartow,1
NO.23585-23595,2020-03-21,GA,Fulton,10
NO.23581-23584,2020-03-21,TX,Brazos,3
NO.23580,2020-03-21,MN,Dodge,1
NO.23579,2020-03-21,TX,El Paso,1
NO.23576-23578,2020-03-21,USVI,Unassigned,2
NO.23574-23575,2020-03-21,MN,Mower,1
NO.23573,2020-03-21,MN,Blue earth,1
NO.23572,2020-03-21,MN,Jackson,1
NO.23571,2020-03-21,MN,Washington,1
NO.23563-23570,2020-03-21,CA,San Francisco,7
NO.23562,2020-03-21,MN,Martin,1
NO.23555-23561,2020-03-21,MN,Hennepin,6
NO.23554,2020-03-21,NC,Hyde,1
NO.23553,2020-03-21,MN,Ramsey,1
NO.23552,2020-03-21,MN,Olmsted,1
NO.23551,2020-03-21,GU,Guam,1
NO.23546-23550,2020-03-21,NC,Forsyth,4
NO.23543-23545,2020-03-21,AZ,Apache,2
NO.23542,2020-03-21,MN,Wabasha,1
NO.23539-23541,2020-03-21,AZ,Coconino,2
NO.23535-23538,2020-03-21,AZ,Pinal,3
NO.23534,2020-03-21,FL,St. Lucie,1
NO.23533,2020-03-21,FL,St. Johns,1
NO.23529-23532,2020-03-21,AZ,Pima,3
NO.23528,2020-03-21,FL,Seminole,1
NO.23526-23527,2020-03-21,FL,Sarasota,1
NO.23525,2020-03-21,FL,Putnam,1
NO.23510-23524,2020-03-21,AZ,Maricopa,14
NO.23509,2020-03-21,FL,Polk,1
NO.23504-23508,2020-03-21,FL,Pinellas,4
NO.23503,2020-03-21,FL,Pasco,1
NO.23500-23502,2020-03-21,FL,Palm Beach,2
NO.23499,2020-03-21,FL,Osceola,1
NO.23497-23498,2020-03-21,FL,Okaloosa,1
NO.23496,2020-03-21,FL,Manatee,1
NO.23495,2020-03-21,FL,Lake,1
NO.23494,2020-03-21,FL,Indian River,1
NO.23491-23493,2020-03-21,PR,Puerto Rico,2
NO.23481-23490,2020-03-21,FL,Hillsborough,9
NO.23469-23480,2020-03-21,TN,Shelby,11
NO.23468,2020-03-21,FL,Hernando,1
NO.23465-23467,2020-03-21,FL,Duval,2
NO.23446-23464,2020-03-21,FL,Miami-Dade,18
NO.23445,2020-03-21,FL,Clay,1
NO.23441-23444,2020-03-21,FL,Citrus,3
NO.23418-23440,2020-03-21,FL,Broward,22
NO.23417,2020-03-21,FL,Bay,1
NO.23416,2020-03-21,FL,Baker,1
Death,2020-03-21,PA,Allegheny,1
NO.23415,2020-03-21,NC,Robeson,1
NO.23409-23414,2020-03-21,FL,Alachua,5
NO.23377-23408,2020-03-21,TN,Davidson,31
NO.23374-23376,2020-03-21,PA,Allegheny,2
NO.23213-23373,2020-03-21,NY,Rockland,160
NO.23210-23212,2020-03-21,TX,Denton,2
NO.23007-23209,2020-03-21,NY,Suffolk,202
NO.22527-23006,2020-03-21,NY,Nassau,479
NO.22521-22526,2020-03-21,AL,Shelby,5
NO.22225-22520,2020-03-21,NY,Westchester,295
NO.22224,2020-03-21,AL,Lee,1
NO.22223,2020-03-21,FL,Marion,1
NO.22222,2020-03-21,AL,Cullman,1
NO.22212-22221,2020-03-21,AL,Jefferson,9
NO.22202-22211,2020-03-21,CA,San Mateo,9
NO.22201,2020-03-21,TX,Grimes,1
NO.22200,2020-03-21,NC,Henderson,1
NO.22197-22199,2020-03-21,NC,Guilford,2
NO.22196,2020-03-21,MS,Hancock,1
NO.22195,2020-03-21,MS,Grenada,1
NO.22194,2020-03-21,MS,George,1
NO.22193,2020-03-21,MS,Franklin,1
NO.22192,2020-03-21,MS,Forrest,1
NO.22183-22191,2020-03-21,MS,Desoto,8
NO.22181-22182,2020-03-21,MS,Coahoma,1
NO.22180,2020-03-21,MS,Clay,1
NO.22179,2020-03-21,MS,Adams,1
NO.22169-22178,2020-03-21,NY,Monroe,9
NO.22167-22168,2020-03-21,KS,Douglas,1
NO.22163-22166,2020-03-21,NC,Cabarrus,3
NO.22129-22162,2020-03-21,NC,Mecklenburg,33
NO.22103-22128,2020-03-21,LA,Orleans,25
NO.22102,2020-03-21,IN,Hancock,1
NO.22101,2020-03-21,IN,Vigo,1
NO.22080-22100,2020-03-21,IN,Marion,20
NO.22079,2020-03-21,IN,LaPorte,1
NO.22078,2020-03-21,IN,Lake,1
NO.22075-22077,2020-03-21,IN,Johnson,2
NO.22073-22074,2020-03-21,IN,Hendricks,1
NO.22068-22072,2020-03-21,IN,Hamilton,4
NO.22067,2020-03-21,IN,Greene,1
NO.22066,2020-03-21,MI,Wexford,1
NO.22065,2020-03-21,IN,Elkhart,1
Death,2020-03-21,WI,Milwaukee,1
NO.22062-22064,2020-03-21,IN,Clark,2
NO.22061,2020-03-21,MD,Wicomico,1
NO.22056-22060,2020-03-21,MD,Prince George's,4
NO.22039-22055,2020-03-21,MD,Montgomery,16
NO.22038,2020-03-21,MD,Howard,1
NO.22036-22037,2020-03-21,MD,Charles,1
NO.22032-22035,2020-03-21,MD,Baltimore City,3
NO.22026-22031,2020-03-21,MD,Baltimore,5
NO.22020-22025,2020-03-21,MD,Anne Arundel,5
NO.22019,2020-03-21,CO,Unassigned,1
NO.19587-22018,2020-03-21,NY,New York,2431
NO.19584-19586,2020-03-20,AR,Bradley,2
NO.19581-19583,2020-03-20,AR,Cleveland,2
NO.19579-19580,2020-03-20,AR,Van Buren,1
NO.19577-19578,2020-03-20,AR,Independence,1
NO.19575-19576,2020-03-20,AR,Lincoln,1
NO.19574,2020-03-20,AR,Searcy,1
NO.19572-19573,2020-03-20,AR,Poinsett,1
NO.19569-19571,2020-03-20,AR,Craighead,2
NO.19568,2020-03-20,AR,Clark,1
NO.19566-19567,2020-03-20,AR,Desha,1
NO.19564-19565,2020-03-20,AR,Grant,1
NO.19561-19563,2020-03-20,AR,Saline,2
NO.19559-19560,2020-03-20,LA,East Baton Rouge,1
NO.19558,2020-03-20,CA,El Dorado,1
Death,2020-03-20,CA,Sonoma,1
NO.19557,2020-03-20,AR,Polk,1
NO.19556,2020-03-20,AR,Greene,1
NO.19555,2020-03-20,AR,Crittenden,1
NO.19554,2020-03-20,AR,Boone,1
